ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002696	GO:0002696	positive regulation of leukocyte activation	28/294	305/17913	1.69862798341272e-13	4.70095294409469e-11	4.15865851026745e-11	GATA3/NFATC2/TESPA1/RUNX3/DPP4/PRKCQ/FLT3LG/CD3E/LCK/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/TBX21/FYN/CD74/IL7R/CD2/RASGRP1/GPR183/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/SLC39A10	28
GO:0050863	GO:0050863	regulation of T cell activation	28/294	307/17913	1.99814019045624e-13	5.10447967115782e-11	4.51563503770312e-11	GATA3/NFATC2/TESPA1/RUNX3/DPP4/PRKCQ/CD3E/LCK/HLA-DPA1/LAT/ZAP70/CD81/CAMK4/HLA-DPB1/TBX21/FYN/CD74/IL7R/CD2/RASGRP1/SIT1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/CLC	28
GO:0002694	GO:0002694	regulation of leukocyte activation	35/294	492/17913	2.84594215630634e-13	6.75098135792382e-11	5.97219891597819e-11	GATA3/NFATC2/TESPA1/RUNX3/DPP4/PRKCQ/FLT3LG/CD3E/LCK/HLA-DPA1/FCRL3/LAT/ZAP70/CD81/CAMK4/HLA-DPB1/TBX21/FYN/CD74/IL7R/CD2/RASGRP1/GPR183/SIT1/RORA/XCL1/CD27/HLA-DMB/CCR7/IKZF3/CD160/CCL5/SLC39A10/BANK1/CLC	35
GO:0050867	GO:0050867	positive regulation of cell activation	28/294	319/17913	5.15410193298829e-13	1.14111816796361e-10	1.00948059613827e-10	GATA3/NFATC2/TESPA1/RUNX3/DPP4/PRKCQ/FLT3LG/CD3E/LCK/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/TBX21/FYN/CD74/IL7R/CD2/RASGRP1/GPR183/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/SLC39A10	28
GO:0046631	GO:0046631	alpha-beta T cell activation	19/294	133/17913	6.13184001868444e-13	1.27274004387819e-10	1.12591878237818e-10	GATA3/TCF7/RUNX3/PRKCQ/BCL11B/CD3E/SLAMF6/LY9/LEF1/ZAP70/CD81/TBX21/GPR18/SATB1/GPR183/RORA/EOMES/XCL1/CD160	19
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	24/294	251/17913	4.11886441118608e-12	8.04632277032293e-10	7.11811180905285e-10	GATA3/TESPA1/RUNX3/DPP4/PRKCQ/ETS1/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/SKAP1/FYN/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/ITGA4	24
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	27/294	328/17913	6.20050934876308e-12	1.14399397484679e-09	1.01202465452618e-09	GATA3/TESPA1/RUNX3/DPP4/PRKCQ/ETS1/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/TBX21/SKAP1/FYN/ITGB7/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/ITGA4/CX3CR1	27
GO:0050870	GO:0050870	positive regulation of T cell activation	21/294	198/17913	1.31994588124636e-11	2.30712645874693e-09	2.04098003022637e-09	GATA3/TESPA1/RUNX3/DPP4/PRKCQ/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/FYN/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5	21
GO:0032609	GO:0032609	interferon-gamma production	16/294	105/17913	1.55513214568271e-11	2.48763349534276e-09	2.20066406298091e-09	GATA3/CD3E/SLAMF6/HLA-DPA1/ITK/HLA-DPB1/TXK/CD96/CD2/RASGRP1/EOMES/XCL1/CCR7/CD160/PDE4B/BTN3A2	16
GO:0046651	GO:0046651	lymphocyte proliferation	23/294	244/17913	1.57302931051484e-11	2.48763349534276e-09	2.20066406298091e-09	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/SATB1/FYN/CD74/IL7R/GPR183/XCL1/HLA-DMB/IKZF3/CD79A/CCL5/IMPDH2/MS4A1/SLC39A10/CLC	23
GO:0032943	GO:0032943	mononuclear cell proliferation	23/294	246/17913	1.85955914506888e-11	2.80708905489716e-09	2.48326773870203e-09	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/SATB1/FYN/CD74/IL7R/GPR183/XCL1/HLA-DMB/IKZF3/CD79A/CCL5/IMPDH2/MS4A1/SLC39A10/CLC	23
GO:0070661	GO:0070661	leukocyte proliferation	24/294	270/17913	1.94948803086666e-11	2.81489119587311e-09	2.49016983713905e-09	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/SATB1/FYN/CD74/IL7R/GPR183/XCL1/HLA-DMB/IKZF3/CD79A/CCL5/IMPDH2/MS4A1/SLC39A10/CSF1R/CLC	24
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	25/294	295/17913	2.07227594467446e-11	2.86751183844328e-09	2.53672024630983e-09	GATA3/TESPA1/RUNX3/DPP4/PRKCQ/ETS1/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/TBX21/SKAP1/FYN/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/ITGA4	25
GO:0045058	GO:0045058	T cell selection	11/294	45/17913	1.19458660313325e-10	1.58688884360221e-08	1.4038278776189e-08	GATA3/BCL11B/CD3E/SLAMF6/LY9/ZAP70/TBX21/CD74/CCR7/THEMIS/CD3D	11
GO:0042113	GO:0042113	B cell activation	20/294	215/17913	4.38144115322353e-10	5.59644848840591e-08	4.95085111686109e-08	NFATC2/CCR6/FCRL3/ZAP70/CD81/TBX21/LFNG/CD74/IL7R/GPR183/DOCK10/CD27/IKZF3/CD79A/MS4A1/UNG/ITGA4/SLC39A10/BANK1/BLNK	20
GO:0046632	GO:0046632	alpha-beta T cell differentiation	14/294	99/17913	8.23045885360147e-10	1.01234643899298e-07	8.95563768436713e-08	GATA3/TCF7/RUNX3/BCL11B/SLAMF6/LY9/LEF1/ZAP70/TBX21/GPR18/SATB1/GPR183/RORA/EOMES	14
GO:0033077	GO:0033077	T cell differentiation in thymus	12/294	69/17913	1.1694232669143e-09	1.38701952479371e-07	1.22701516464579e-07	GATA3/TESPA1/BCL11B/CCR6/CD3E/ZAP70/CAMK4/CD74/IL7R/RASGRP1/CCR7/CD3D	12
GO:0045785	GO:0045785	positive regulation of cell adhesion	26/294	388/17913	1.38762912353231e-09	1.5890745928451e-07	1.4057614823153e-07	SPOCK2/GATA3/TESPA1/RUNX3/DPP4/PRKCQ/ETS1/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/SKAP1/FYN/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/ADGRG1/CCR7/CD160/CCL5/ITGA4	26
GO:0022407	GO:0022407	regulation of cell-cell adhesion	26/294	389/17913	1.46533751521067e-09	1.62212862933821e-07	1.43500245787824e-07	GATA3/TESPA1/RUNX3/DPP4/PRKCQ/ETS1/CD3E/LCK/HLA-DPA1/ZAP70/CD81/HLA-DPB1/TBX21/SKAP1/ZNF703/FYN/CD74/IL7R/RASGRP1/XCL1/CD27/HLA-DMB/CCR7/CD160/CCL5/ITGA4	26
GO:0050671	GO:0050671	positive regulation of lymphocyte proliferation	15/294	125/17913	2.12293640240693e-09	2.27428122335272e-07	2.0119237688006e-07	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/CD74/GPR183/XCL1/HLA-DMB/CCL5/SLC39A10	15
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	15/294	126/17913	2.37464752256741e-09	2.46443888201449e-07	2.18014514325185e-07	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/CD74/GPR183/XCL1/HLA-DMB/CCL5/SLC39A10	15
GO:0035710	GO:0035710	CD4-positive, alpha-beta T cell activation	13/294	90/17913	2.55584423952341e-09	2.57210870286584e-07	2.2753943452982e-07	GATA3/RUNX3/PRKCQ/SLAMF6/LY9/LEF1/CD81/TBX21/SATB1/GPR183/RORA/XCL1/CD160	13
GO:0032649	GO:0032649	regulation of interferon-gamma production	13/294	93/17913	3.86320447469126e-09	3.7734417824852e-07	3.33814355692362e-07	GATA3/CD3E/SLAMF6/HLA-DPA1/HLA-DPB1/TXK/CD96/CD2/RASGRP1/XCL1/CCR7/CD160/PDE4B	13
GO:0070665	GO:0070665	positive regulation of leukocyte proliferation	15/294	134/17913	5.60914605212415e-09	5.32227829688695e-07	4.70830876134692e-07	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/CD74/GPR183/XCL1/HLA-DMB/CCL5/SLC39A10	15
GO:0006968	GO:0006968	cellular defense response	10/294	53/17913	1.27306952364769e-08	1.17440663556499e-06	1.03892895921073e-06	FCMR/CCR6/ITK/CCR3/PRF1/GNLY/KLRC3/KLRG1/CX3CR1/TRAT1	10
GO:0002449	GO:0002449	lymphocyte mediated immunity	21/294	293/17913	1.76067329499786e-08	1.58032324667241e-06	1.3980196774791e-06	GATA3/CCR6/SLAMF6/SH2D1B/CD81/TBX21/PRF1/CD96/CD74/IL7R/RASGRP1/XCL1/CD27/CD160/KLRD1/UNG/BTN3A3/GZMB/BTN3A2/HLA-DQB1/CLC	21
GO:0072676	GO:0072676	lymphocyte migration	12/294	87/17913	1.80894601313402e-08	1.58092360779423e-06	1.39855078189946e-06	GATA3/CCR6/ZAP70/TBX21/ITGB7/GPR183/XCL1/CCR7/CCL5/ITGA4/STK39/CCL4	12
GO:0050670	GO:0050670	regulation of lymphocyte proliferation	17/294	199/17913	3.2841648487967e-08	2.79659268278303e-06	2.47398221133376e-06	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/CD74/GPR183/XCL1/HLA-DMB/IKZF3/CCL5/SLC39A10/CLC	17
GO:0032944	GO:0032944	regulation of mononuclear cell proliferation	17/294	200/17913	3.53678736466483e-08	2.89736026439175e-06	2.56312540544775e-06	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/CD74/GPR183/XCL1/HLA-DMB/IKZF3/CCL5/SLC39A10/CLC	17
GO:0043368	GO:0043368	positive T cell selection	8/294	32/17913	3.57698798073055e-08	2.89736026439175e-06	2.56312540544775e-06	BCL11B/SLAMF6/LY9/ZAP70/TBX21/CD74/THEMIS/CD3D	8
GO:0045619	GO:0045619	regulation of lymphocyte differentiation	15/294	164/17913	8.71304622812934e-08	6.88953012467084e-06	6.09476491797217e-06	GATA3/NFATC2/TESPA1/RUNX3/FLT3LG/FCRL3/ZAP70/CAMK4/TBX21/CD74/IL7R/CD2/RASGRP1/CD27/IKZF3	15
GO:0070663	GO:0070663	regulation of leukocyte proliferation	17/294	214/17913	9.52850241057402e-08	7.35910616407357e-06	6.51017141442157e-06	NFATC2/PRKCQ/FLT3LG/CD3E/HLA-DPA1/FCRL3/ZAP70/CD81/HLA-DPB1/CD74/GPR183/XCL1/HLA-DMB/IKZF3/CCL5/SLC39A10/CLC	17
GO:0042100	GO:0042100	B cell proliferation	10/294	71/17913	2.32347779429703e-07	1.75369767155919e-05	1.55139390523517e-05	NFATC2/FCRL3/CD81/CD74/IL7R/GPR183/IKZF3/CD79A/MS4A1/SLC39A10	10
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	14/294	158/17913	3.49065888695251e-07	2.57610625857095e-05	2.27893074935309e-05	GATA3/CCR6/SLAMF6/LY9/LEF1/CD81/TBX21/LFNG/GPR183/DOCK10/RORA/EOMES/HLA-DMB/UNG	14
GO:0045061	GO:0045061	thymic T cell selection	6/294	19/17913	4.21081693284937e-07	3.04002674652016e-05	2.6893341097443e-05	GATA3/CD3E/ZAP70/CD74/CCR7/CD3D	6
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	19/294	295/17913	4.50156764312918e-07	3.18078854102808e-05	2.81385784814637e-05	GATA3/PRKCQ/CCR6/SLAMF6/LY9/LEF1/CD81/TBX21/PRF1/CD74/IL7R/RORA/XCL1/CD27/UNG/BTN3A3/BTN3A2/HLA-DQB1/CLC	19
GO:0043383	GO:0043383	negative T cell selection	5/294	11/17913	4.90547433543508e-07	3.39397505582915e-05	3.00245150662266e-05	CD3E/ZAP70/CD74/CCR7/THEMIS	5
GO:0032729	GO:0032729	positive regulation of interferon-gamma production	9/294	62/17913	7.24001479469687e-07	4.9069569659568e-05	4.34089823673447e-05	CD3E/SLAMF6/HLA-DPA1/HLA-DPB1/TXK/CD2/RASGRP1/CD160/PDE4B	9
GO:0050900	GO:0050900	leukocyte migration	24/294	467/17913	8.6681526793591e-07	5.75738700963032e-05	5.09322402696658e-05	CCN3/GATA3/CCR6/LCK/ZAP70/CD81/TBX21/GPR18/FYN/ITGB7/CD74/CD2/GPR183/XCL1/CCR7/VPREB3/CCL5/PDE4B/ITGA4/CX3CR1/STK39/CCL4/CXCL8/PLA2G7	24
GO:0071346	GO:0071346	cellular response to interferon-gamma	13/294	153/17913	1.48069356096488e-06	9.64192807051834e-05	8.52965062673471e-05	EVL/HLA-DPA1/HLA-DQA1/HLA-DPB1/TXK/HLA-DRB5/HLA-DRB1/CCL5/HLA-DRA/OAS2/HSP90AB1/HLA-DQB1/GBP4	13
GO:0002286	GO:0002286	T cell activation involved in immune response	10/294	88/17913	1.77675852390043e-06	0.000113473366497564	0.000100383259923201	GATA3/SLAMF6/LY9/LEF1/CD81/TBX21/GPR183/RORA/EOMES/HLA-DMB	10
GO:0050862	GO:0050862	positive regulation of T cell receptor signaling pathway	5/294	14/17913	2.04129367802144e-06	0.000127908232164325	0.00011315294250959	TESPA1/LCK/CD81/CCR7/TRAT1	5
GO:0060333	GO:0060333	interferon-gamma-mediated signaling pathway	10/294	91/17913	2.42269294508696e-06	0.000147182381365533	0.000130203656600327	HLA-DPA1/HLA-DQA1/HLA-DPB1/TXK/HLA-DRB5/HLA-DRB1/HLA-DRA/OAS2/HSP90AB1/HLA-DQB1	10
GO:0050856	GO:0050856	regulation of T cell receptor signaling pathway	7/294	38/17913	2.43752814667398e-06	0.000147182381365533	0.000130203656600327	TESPA1/PVRIG/LCK/CD81/CCR7/CD160/TRAT1	7
GO:0002685	GO:0002685	regulation of leukocyte migration	14/294	186/17913	2.49171211539755e-06	0.000147767427414915	0.000130721212670575	CCN3/CCR6/CD81/GPR18/CD74/XCL1/CCR7/CCL5/ITGA4/CX3CR1/STK39/CCL4/CXCL8/PLA2G7	14
GO:0045580	GO:0045580	regulation of T cell differentiation	12/294	139/17913	3.18405518050834e-06	0.000185513109727512	0.000164112613274216	GATA3/NFATC2/TESPA1/RUNX3/ZAP70/CAMK4/TBX21/CD74/IL7R/CD2/RASGRP1/CD27	12
GO:0043367	GO:0043367	CD4-positive, alpha-beta T cell differentiation	9/294	74/17913	3.32091907596711e-06	0.000190151245711841	0.000168215701289005	GATA3/RUNX3/SLAMF6/LY9/LEF1/TBX21/SATB1/GPR183/RORA	9
GO:0002440	GO:0002440	production of molecular mediator of immune response	14/294	191/17913	3.40277774462345e-06	0.000191536015082957	0.000169440725874113	GATA3/CCR6/FCRL3/CD81/TBX21/SPON2/CD96/CD74/IL7R/XCL1/CD160/UNG/HLA-DQB1/CLC	14
GO:0033631	GO:0033631	cell-cell adhesion mediated by integrin	5/294	16/17913	4.33513556372705e-06	0.000236705034071626	0.000209399118874755	DPP4/CD3E/SKAP1/CCL5/ITGA4	5
GO:0019886	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	10/294	97/17913	4.34778894259837e-06	0.000236705034071626	0.000209399118874755	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/HLA-DMA/HLA-DRA/HLA-DQB1	10
GO:0060326	GO:0060326	cell chemotaxis	16/294	253/17913	4.67287862705823e-06	0.00025030048258807	0.000221426218134457	CCN3/PRKCQ/CCR6/LEF1/GPR18/TIAM1/CD74/GPR183/XCL1/CCR7/CCL5/PDE4B/STK39/CCL4/CXCL8/PLA2G7	16
GO:0072678	GO:0072678	T cell migration	8/294	59/17913	5.13587081903491e-06	0.000267910136712253	0.000237004450645461	CCR6/ZAP70/ITGB7/GPR183/XCL1/CCL5/ITGA4/STK39	8
GO:0070229	GO:0070229	negative regulation of lymphocyte apoptotic process	6/294	28/17913	5.16297764215121e-06	0.000267910136712253	0.000237004450645461	PRKCQ/CD74/IL7R/CD27/CCL5/SLC39A10	6
GO:0002495	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	10/294	100/17913	5.73098451888524e-06	0.000292373754277814	0.000258645984307003	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/HLA-DMA/HLA-DRA/HLA-DQB1	10
GO:0034341	GO:0034341	response to interferon-gamma	13/294	173/17913	5.81049918167291e-06	0.000292373754277814	0.000258645984307003	EVL/HLA-DPA1/HLA-DQA1/HLA-DPB1/TXK/HLA-DRB5/HLA-DRB1/CCL5/HLA-DRA/OAS2/HSP90AB1/HLA-DQB1/GBP4	13
GO:0002504	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	10/294	101/17913	6.26972797999539e-06	0.000310772636142757	0.000274922400505375	HLA-DPA1/HLA-DQA1/HLA-DPB1/HLA-DRB5/CD74/HLA-DRB1/HLA-DMB/HLA-DMA/HLA-DRA/HLA-DQB1	10
GO:0002287	GO:0002287	alpha-beta T cell activation involved in immune response	8/294	61/17913	6.62958652593241e-06	0.000319084881922051	0.00028227575886922	GATA3/SLAMF6/LY9/LEF1/TBX21/GPR183/RORA/EOMES	8
GO:0002293	GO:0002293	alpha-beta T cell differentiation involved in immune response	8/294	61/17913	6.62958652593241e-06	0.000319084881922051	0.00028227575886922	GATA3/SLAMF6/LY9/LEF1/TBX21/GPR183/RORA/EOMES	8
GO:0050854	GO:0050854	regulation of antigen receptor-mediated signaling pathway	8/294	63/17913	8.47493934411728e-06	0.000402075336597336	0.000355692567059118	TESPA1/PVRIG/LCK/FCRL3/CD81/CCR7/CD160/TRAT1	8
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	9/294	83/17913	8.68194646608473e-06	0.00040609498892771	0.00035924851870782	GATA3/CD81/TBX21/SPON2/CD96/CD74/XCL1/CD160/CLC	9
GO:0002688	GO:0002688	regulation of leukocyte chemotaxis	10/294	105/17913	8.88690895423555e-06	0.000409908675514115	0.000362622264492272	CCN3/GPR18/CD74/XCL1/CCR7/CCL5/STK39/CCL4/CXCL8/PLA2G7	10
GO:2000107	GO:2000107	negative regulation of leukocyte apoptotic process	7/294	46/17913	9.24022305477472e-06	0.000414789715950217	0.000366940235888701	PRKCQ/CD74/IL7R/CD27/CCR7/CCL5/SLC39A10	7
GO:1902105	GO:1902105	regulation of leukocyte differentiation	16/294	267/17913	9.24252905158569e-06	0.000414789715950217	0.000366940235888701	GATA3/NFATC2/TESPA1/RUNX3/FLT3LG/FCRL3/LEF1/ZAP70/CAMK4/TBX21/CD74/IL7R/CD2/RASGRP1/CD27/IKZF3	16
GO:0002292	GO:0002292	T cell differentiation involved in immune response	8/294	66/17913	1.20448634749082e-05	0.000533346554668936	0.000471820546785527	GATA3/SLAMF6/LY9/LEF1/TBX21/GPR183/RORA/EOMES	8
GO:0050864	GO:0050864	regulation of B cell activation	10/294	110/17913	1.34430779329295e-05	0.000581626822146348	0.000514531279611549	NFATC2/FCRL3/CD81/TBX21/CD74/GPR183/CD27/IKZF3/SLC39A10/BANK1	10
GO:0070227	GO:0070227	lymphocyte apoptotic process	8/294	67/17913	1.34854758522339e-05	0.000581626822146348	0.000514531279611549	PRKCQ/CD74/IL7R/CD27/CCL5/CD3G/SLC39A10/CLC	8
GO:0045060	GO:0045060	negative thymic T cell selection	4/294	10/17913	1.38117462278169e-05	0.000585845685925491	0.000518263461994024	CD3E/ZAP70/CD74/CCR7	4
GO:0002456	GO:0002456	T cell mediated immunity	9/294	88/17913	1.40494218287137e-05	0.000585845685925491	0.000518263461994024	GATA3/CD81/TBX21/PRF1/IL7R/XCL1/BTN3A3/BTN3A2/CLC	9
GO:0071353	GO:0071353	cellular response to interleukin-4	6/294	33/17913	1.41667257234994e-05	0.000585845685925491	0.000518263461994024	GATA3/TCF7/LEF1/XCL1/IMPDH2/HSP90AB1	6
GO:0030595	GO:0030595	leukocyte chemotaxis	13/294	188/17913	1.42889191689144e-05	0.000585845685925491	0.000518263461994024	CCN3/CCR6/GPR18/CD74/GPR183/XCL1/CCR7/CCL5/PDE4B/STK39/CCL4/CXCL8/PLA2G7	13
GO:0002706	GO:0002706	regulation of lymphocyte mediated immunity	11/294	136/17913	1.52795949894625e-05	0.000618823597073231	0.00054743709391001	GATA3/SLAMF6/SH2D1B/CD81/TBX21/CD96/IL7R/RASGRP1/XCL1/CD160/CLC	11
GO:0001819	GO:0001819	positive regulation of cytokine production	21/294	446/17913	1.61805642189399e-05	0.000647417515314452	0.000572732463348908	GATA3/PRKCQ/CD3E/SLAMF6/LY9/HLA-DPA1/CD81/HLA-DPB1/TXK/SPON2/CD74/CD2/RASGRP1/RNF125/RORA/XCL1/CCR7/CD160/SULF2/PDE4B/CSF1R	21
