ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0032496	GO:0032496	response to lipopolysaccharide	24/367	295/17913	1.05208659553069e-08	3.44510537918323e-06	2.96899844040192e-06	IRAK3/MAPK14/TSPO/HMGB2/JAK2/ADM/ADAM9/ARG1/ALPL/CD55/MGST1/IL18/CARD16/LCN2/SLPI/LY96/LTF/HPGD/IL10/ELANE/CHMP5/MPO/GJB6/CTSG	24
GO:0001906	GO:0001906	cell killing	17/367	156/17913	2.239248716823e-08	6.7214782316637e-06	5.79258286483423e-06	S100A12/IL18RAP/PGLYRP1/ARG1/CD55/CD59/RAB27A/IL18/CR1L/LTF/CEACAM1/DEFA1/ELANE/CAMP/DEFA4/AZU1/CTSG	17
GO:0009620	GO:0009620	response to fungus	10/367	51/17913	6.97860162164744e-08	1.9336094647057e-05	1.66638835483711e-05	S100A9/S100A12/ARG1/LTF/PTX3/DEFA1/ELANE/DEFA4/MPO/CTSG	10
GO:0050832	GO:0050832	defense response to fungus	9/367	40/17913	9.00135464153153e-08	2.31591995848547e-05	1.99586427352455e-05	S100A9/S100A12/ARG1/LTF/DEFA1/ELANE/DEFA4/MPO/CTSG	9
GO:0051852	GO:0051852	disruption by host of symbiont cells	6/367	14/17913	1.85598029165929e-07	4.36786779718486e-05	3.76423686662326e-05	ARG1/DEFA1/ELANE/CAMP/AZU1/CTSG	6
GO:0035821	GO:0035821	modification of morphology or physiology of other organism	16/367	160/17913	1.94019668947689e-07	4.36786779718486e-05	3.76423686662326e-05	S100A9/S100A12/PGLYRP1/ARG1/STOM/SLPI/LTF/PTX3/DEFA1/ELANE/TYMS/CAMP/DEFA4/AZU1/CTSG/IFI27	16
GO:0019731	GO:0019731	antibacterial humoral response	9/367	44/17913	2.17096431529759e-07	4.59989027276584e-05	3.96419428223691e-05	RNASE3/SLPI/LTF/DEFA1/ELANE/CAMP/DEFA4/CTSG/JCHAIN	9
GO:0032612	GO:0032612	interleukin-1 production	13/367	108/17913	3.22759708622717e-07	6.29543810591761e-05	5.42542066523014e-05	IL1R2/SERPINB1/NLRC4/JAK2/LILRA5/AIM2/CARD16/ANXA1/ORM1/CEACAM1/IL10/SUCNR1/AZU1	13
GO:0031640	GO:0031640	killing of cells of other organism	10/367	60/17913	3.49552365681155e-07	6.29543810591761e-05	5.42542066523014e-05	S100A12/PGLYRP1/ARG1/LTF/DEFA1/ELANE/CAMP/DEFA4/AZU1/CTSG	10
GO:0044364	GO:0044364	disruption of cells of other organism	10/367	60/17913	3.49552365681155e-07	6.29543810591761e-05	5.42542066523014e-05	S100A12/PGLYRP1/ARG1/LTF/DEFA1/ELANE/CAMP/DEFA4/AZU1/CTSG	10
GO:0044110	GO:0044110	growth involved in symbiotic interaction	6/367	17/17913	7.26030047121495e-07	0.000113702618683984	9.79891354215693e-05	PGLYRP1/IL10/ELANE/CAMP/MPO/CTSG	6
GO:0044116	GO:0044116	growth of symbiont involved in interaction with host	6/367	17/17913	7.26030047121495e-07	0.000113702618683984	9.79891354215693e-05	PGLYRP1/IL10/ELANE/CAMP/MPO/CTSG	6
GO:0051818	GO:0051818	disruption of cells of other organism involved in symbiotic interaction	6/367	17/17913	7.26030047121495e-07	0.000113702618683984	9.79891354215693e-05	ARG1/DEFA1/ELANE/CAMP/AZU1/CTSG	6
GO:0045861	GO:0045861	negative regulation of proteolysis	22/367	324/17913	9.96074048130755e-07	0.000149494113390291	0.000128834314383228	CR1/IL1R2/CST7/SERPINB1/UBE2J1/MMP9/NAIP/CD55/CD59/LAMTOR5/POR/TIMP1/CARD16/CSTA/SLPI/VSIG4/LTF/HGF/IL10/PTTG1/PROS1/WFDC1	22
GO:0061844	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	9/367	55/17913	1.59644164309039e-06	0.000230015311936464	0.000198227638125203	S100A9/S100A12/PGLYRP1/RNASE3/LTF/DEFA1/ELANE/CAMP/DEFA4	9
GO:0001818	GO:0001818	negative regulation of cytokine production	20/367	290/17913	2.45220257469175e-06	0.000329743570220327	0.000284173642882534	IRAK3/BCL6/IL1R2/SERPINB1/TSPO/ARG1/LILRA5/MMP8/BPI/CARD16/VSIG4/ANXA1/LTF/ORM1/HGF/CEACAM1/CD24/IL10/C5orf30/ELANE	20
GO:0051873	GO:0051873	killing by host of symbiont cells	5/367	12/17913	2.47170360798135e-06	0.000329743570220327	0.000284173642882534	ARG1/ELANE/CAMP/AZU1/CTSG	5
GO:0052547	GO:0052547	regulation of peptidase activity	24/367	398/17913	2.62333918403112e-06	0.000337473847888575	0.000290835611041646	S100A9/CR1/MAPK14/CST7/SERPINB1/MMP9/NLRC4/NAIP/JAK2/ASPH/LAMTOR5/AIM2/POR/CTSD/TIMP1/CARD16/CSTA/SLPI/PCOLCE2/LTF/HGF/PTTG1/PROS1/WFDC1	24
GO:0035743	GO:0035743	CD4-positive, alpha-beta T cell cytokine production	6/367	21/17913	2.96981804547183e-06	0.000368871882751363	0.000317894497861939	IL18RAP/ARG1/CD55/IL18R1/IL18/IL1R1	6
GO:0051851	GO:0051851	modification by host of symbiont morphology or physiology	10/367	77/17913	3.73446838036648e-06	0.000443092603057463	0.000381858057341377	ARG1/STOM/LTF/PTX3/DEFA1/ELANE/CAMP/AZU1/CTSG/IFI27	10
GO:0032640	GO:0032640	tumor necrosis factor production	14/367	155/17913	3.813401081283e-06	0.000443092603057463	0.000381858057341377	IRAK3/FCER1G/UBE2J1/TSPO/JAK2/LILRA5/MMP8/BPI/AZI2/LY96/LTF/ORM1/IL10/AZU1	14
GO:0032652	GO:0032652	regulation of interleukin-1 production	11/367	96/17913	4.27491218971035e-06	0.000481194803354272	0.000414694606824205	IL1R2/SERPINB1/JAK2/LILRA5/AIM2/CARD16/ANXA1/ORM1/CEACAM1/IL10/AZU1	11
GO:0002697	GO:0002697	regulation of immune effector process	25/367	441/17913	4.84283635644035e-06	0.000528602925936308	0.000455551018026878	IRAK3/FCER1G/CD177/CR1/MAPK14/BCL6/IL18RAP/ARG1/CD55/IL18R1/CD59/IL18/AIM2/IL1R1/C3AR1/CR1L/VSIG4/ANXA1/C1QB/CEACAM1/IL10/PROS1/C1QA/C1QC/MZB1	25
GO:0050663	GO:0050663	cytokine secretion	17/367	230/17913	5.60518248449582e-06	0.000572517854650036	0.000493396988036751	S100A12/TLR5/MAPK14/IL1R2/SERPINB1/NLRC4/DYSF/LILRA5/MMP8/CD58/AIM2/CLEC4E/CARD16/CLEC5A/ANXA1/ORM1/IL10	17
GO:0001819	GO:0001819	positive regulation of cytokine production	25/367	446/17913	5.89392890393899e-06	0.000572517854650036	0.000493396988036751	TLR5/FCER1G/MAPK14/HMGB2/JAK2/FLOT1/LILRA5/MMP8/IL18R1/CD58/IL18/AIM2/IL1R1/CLEC4E/C3AR1/CYP1B1/CLEC5A/LY96/ANXA1/ORM1/HGF/IL10/HPSE/ELANE/AZU1	25
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	14/367	161/17913	5.94607881883556e-06	0.000572517854650036	0.000493396988036751	IRAK3/FCER1G/UBE2J1/TSPO/JAK2/LILRA5/MMP8/BPI/AZI2/LY96/LTF/ORM1/IL10/AZU1	14
GO:0051702	GO:0051702	interaction with symbiont	10/367	81/17913	5.94690191968715e-06	0.000572517854650036	0.000493396988036751	ARG1/STOM/LTF/PTX3/DEFA1/ELANE/CAMP/AZU1/CTSG/IFI27	10
GO:0044146	GO:0044146	negative regulation of growth of symbiont involved in interaction with host	5/367	14/17913	6.03988852767945e-06	0.000572517854650036	0.000493396988036751	IL10/ELANE/CAMP/MPO/CTSG	5
GO:0097530	GO:0097530	granulocyte migration	11/367	100/17913	6.38226106406617e-06	0.000589459085968368	0.000507996973763324	S100A9/S100A12/CD177/MAPK14/CKLF/DYSF/BST1/IL1R1/C3AR1/ANXA1/PRTN3	11
GO:0002367	GO:0002367	cytokine production involved in immune response	11/367	101/17913	7.03285868252627e-06	0.000631954305151058	0.000544619435369377	IRAK3/FCER1G/MAPK14/BCL6/IL18RAP/ARG1/CD55/IL18R1/IL18/IL1R1/IL10	11
GO:0010951	GO:0010951	negative regulation of endopeptidase activity	16/367	210/17913	7.19326110804924e-06	0.000631954305151058	0.000544619435369377	CR1/CST7/SERPINB1/MMP9/NAIP/LAMTOR5/POR/TIMP1/CARD16/CSTA/SLPI/LTF/HGF/PTTG1/PROS1/WFDC1	16
GO:0052548	GO:0052548	regulation of endopeptidase activity	22/367	370/17913	8.59543183107611e-06	0.00069752208915889	0.000601125877708164	S100A9/CR1/CST7/SERPINB1/MMP9/NLRC4/NAIP/JAK2/ASPH/LAMTOR5/AIM2/POR/CTSD/TIMP1/CARD16/CSTA/SLPI/LTF/HGF/PTTG1/PROS1/WFDC1	22
GO:0010955	GO:0010955	negative regulation of protein processing	7/367	37/17913	8.6740888629396e-06	0.00069752208915889	0.000601125877708164	CR1/IL1R2/CST7/CD55/CD59/CARD16/VSIG4	7
GO:1903318	GO:1903318	negative regulation of protein maturation	7/367	37/17913	8.6740888629396e-06	0.00069752208915889	0.000601125877708164	CR1/IL1R2/CST7/CD55/CD59/CARD16/VSIG4	7
GO:0044144	GO:0044144	modulation of growth of symbiont involved in interaction with host	5/367	15/17913	8.90783345400026e-06	0.00069752208915889	0.000601125877708164	IL10/ELANE/CAMP/MPO/CTSG	5
GO:0051883	GO:0051883	killing of cells in other organism involved in symbiotic interaction	5/367	15/17913	8.90783345400026e-06	0.00069752208915889	0.000601125877708164	ARG1/ELANE/CAMP/AZU1/CTSG	5
GO:0044117	GO:0044117	growth of symbiont in host	5/367	16/17913	1.27395679973186e-05	0.000954248097170309	0.000822372845072983	PGLYRP1/IL10/ELANE/MPO/CTSG	5
GO:0002526	GO:0002526	acute inflammatory response	16/367	220/17913	1.29296336550724e-05	0.000954248097170309	0.000822372845072983	FCER1G/CR1/VNN1/HP/CD55/CD59/C3AR1/CR1L/PLSCR1/VSIG4/ORM1/C1QB/CD163/PROS1/C1QA/C1QC	16
GO:0050900	GO:0050900	leukocyte migration	25/367	467/17913	1.29811651197516e-05	0.000954248097170309	0.000822372845072983	S100A9/S100A12/FCER1G/CD177/MAPK14/MMP9/CKLF/DYSF/BST1/CD58/IL1R1/C3AR1/ANXA1/CEACAM8/CEACAM1/IL10/ITGA2B/PROS1/DEFA1/ELANE/AZU1/CEACAM6/PRTN3/OLR1/JCHAIN	25
GO:0032680	GO:0032680	regulation of tumor necrosis factor production	13/367	151/17913	1.42247296585498e-05	0.00100673600455483	0.000867607024586401	IRAK3/FCER1G/UBE2J1/TSPO/JAK2/LILRA5/MMP8/BPI/LY96/LTF/ORM1/IL10/AZU1	13
GO:0045088	GO:0045088	regulation of innate immune response	24/367	440/17913	1.42541744120757e-05	0.00100673600455483	0.000867607024586401	S100A9/IRAK3/TLR5/FCER1G/CR1/IL18RAP/NLRC4/IFNGR1/CLEC4D/MAP2K6/PGLYRP1/JAK2/FLOT1/ARG1/ALPK1/AIM2/CLEC4E/PLSCR1/VSIG4/LY96/LTF/CEACAM1/MARCO/PSMA4	24
GO:0010466	GO:0010466	negative regulation of peptidase activity	16/367	223/17913	1.53079969624146e-05	0.00106037317420418	0.000913831640529566	CR1/CST7/SERPINB1/MMP9/NAIP/LAMTOR5/POR/TIMP1/CARD16/CSTA/SLPI/LTF/HGF/PTTG1/PROS1/WFDC1	16
GO:1990266	GO:1990266	neutrophil migration	9/367	72/17913	1.57333912269377e-05	0.00106927689055527	0.00092150488040197	S100A9/S100A12/CD177/CKLF/DYSF/BST1/IL1R1/C3AR1/PRTN3	9
GO:0071222	GO:0071222	cellular response to lipopolysaccharide	14/367	176/17913	1.65135879896618e-05	0.00110151748034744	0.000949289882680559	MAPK14/TSPO/HMGB2/ADAM9/ARG1/CD55/IL18/CARD16/LCN2/LY96/LTF/IL10/CHMP5/CTSG	14
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	13/367	155/17913	1.88306487386707e-05	0.00123323630466713	0.00106280541876249	IRAK3/FCER1G/UBE2J1/TSPO/JAK2/LILRA5/MMP8/BPI/LY96/LTF/ORM1/IL10/AZU1	13
GO:0051817	GO:0051817	modification of morphology or physiology of other organism involved in symbiotic interaction	11/367	113/17913	2.06713438898468e-05	0.00132961036948622	0.00114586077314207	ARG1/STOM/LTF/PTX3/DEFA1/ELANE/TYMS/CAMP/AZU1/CTSG/IFI27	11
GO:0043903	GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	16/367	232/17913	2.49454430935851e-05	0.00157637694777357	0.00135852468481962	SRPK1/ARG1/STOM/SNX3/PLSCR1/SLPI/LGALS1/LTF/TOP2A/IL10/PTX3/ELANE/CAMP/MPO/CTSG/IFI27	16
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	14/367	183/17913	2.55867212882596e-05	0.00158902362207433	0.00136942361305041	MAPK14/TSPO/HMGB2/ADAM9/ARG1/CD55/IL18/CARD16/LCN2/LY96/LTF/IL10/CHMP5/CTSG	14
GO:0070942	GO:0070942	neutrophil mediated cytotoxicity	4/367	10/17913	3.30143199309441e-05	0.00198195967318768	0.0017080566574799	ARG1/ELANE/AZU1/CTSG	4
GO:0097278	GO:0097278	complement-dependent cytotoxicity	4/367	10/17913	3.30143199309441e-05	0.00198195967318768	0.0017080566574799	CD55/CD59/RAB27A/CR1L	4
GO:0043900	GO:0043900	regulation of multi-organism process	22/367	408/17913	3.86284101997996e-05	0.00228097595966686	0.00196574946814856	SRPK1/PGLYRP1/ARG1/CD55/STOM/SNX3/AIM2/TIMP1/PLSCR1/CARD16/SLPI/LGALS1/LY96/LTF/TOP2A/IL10/PTX3/ELANE/CAMP/MPO/CTSG/IFI27	22
GO:0097237	GO:0097237	cellular response to toxic substance	16/367	241/17913	3.96194105864674e-05	0.00230175995052348	0.00198366115143451	S100A9/TXN/IL18RAP/HP/ARG1/MGST1/ALOX5AP/GSTO1/GSR/CYP1B1/LCN2/HGF/IL10/PDCD10/MPO/CLIC2	16
GO:0002440	GO:0002440	production of molecular mediator of immune response	14/367	191/17913	4.10861928504397e-05	0.00234908677217911	0.00202444749734247	IRAK3/FCER1G/MAPK14/BCL6/IL18RAP/ARG1/CD55/IL18R1/IL18/IL1R1/IL10/GALNT2/ELANE/MZB1	14
GO:2000379	GO:2000379	positive regulation of reactive oxygen species metabolic process	10/367	101/17913	4.23405212802356e-05	0.00238297746330326	0.00205365456012195	CD177/MAPK14/GADD45A/TSPO/JAK2/NQO2/MMP8/RAB27A/DDAH2/PTX3	10
GO:2000377	GO:2000377	regulation of reactive oxygen species metabolic process	14/367	194/17913	4.87337051244986e-05	0.00270059701320683	0.00232737969898213	CD177/MAPK14/GADD45A/TSPO/HP/JAK2/NQO2/MMP8/BST1/RAB27A/DDAH2/CYP1B1/IL10/PTX3	14
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	9/367	83/17913	4.98634104351146e-05	0.00272133339980732	0.0023452503568286	IRAK3/FCER1G/MAPK14/BCL6/ARG1/IL18R1/IL18/IL1R1/IL10	9
GO:2001057	GO:2001057	reactive nitrogen species metabolic process	9/367	84/17913	5.48536122120488e-05	0.00294899568937014	0.00254145015574755	TSPO/JAK2/MMP8/DDAH2/POR/MARC1/CYP1B1/IL10/PTX3	9
GO:0051092	GO:0051092	positive regulation of NF-kappaB transcription factor activity	12/367	149/17913	5.85174213127251e-05	0.00309970222894758	0.00267132934135025	S100A9/IRAK3/S100A12/IL18RAP/NLRC4/FLOT1/IL18R1/FLOT2/IL18/AIM2/CARD16/LTF	12
GO:0070613	GO:0070613	regulation of protein processing	13/367	173/17913	5.96537753922677e-05	0.00311409998497027	0.00268373735517616	CR1/IL1R2/CST7/CD55/CD59/C3AR1/CR1L/CARD16/VSIG4/C1QB/PROS1/C1QA/C1QC	13
GO:1903317	GO:1903317	regulation of protein maturation	13/367	175/17913	6.71361069216046e-05	0.00345463224473742	0.00297720871145582	CR1/IL1R2/CST7/CD55/CD59/C3AR1/CR1L/CARD16/VSIG4/C1QB/PROS1/C1QA/C1QC	13
GO:0050707	GO:0050707	regulation of cytokine secretion	14/367	201/17913	7.15898135607728e-05	0.00363192265416766	0.003129997927216	TLR5/MAPK14/IL1R2/SERPINB1/LILRA5/MMP8/CD58/AIM2/CLEC4E/CARD16/CLEC5A/ANXA1/ORM1/IL10	14
GO:0002286	GO:0002286	T cell activation involved in immune response	9/367	88/17913	7.92380636067744e-05	0.00396410423766113	0.0034162726546254	BCL6/CLEC4D/IL18R1/SEMA4A/RAB27A/IL18/CLEC4E/ANXA1/CEACAM1	9
GO:0002694	GO:0002694	regulation of leukocyte activation	24/367	492/17913	8.44642351470324e-05	0.00414422497540036	0.00357150105276474	FCER1G/CD177/CR1/VNN1/BCL6/CST7/SAMSN1/CLEC4D/ARG1/CD55/MMP8/FLOT2/BPI/IL18/MILR1/PLSCR1/LGALS1/VSIG4/ANXA1/CEACAM1/CD24/IL10/C1QA/MZB1	24
GO:0051091	GO:0051091	positive regulation of DNA-binding transcription factor activity	16/367	257/17913	8.51395469682472e-05	0.00414422497540036	0.00357150105276474	S100A9/IRAK3/S100A12/ANXA3/IL18RAP/NLRC4/JAK2/FLOT1/IL18R1/FLOT2/IL18/AIM2/CARD16/LTF/IL10/BEX1	16
GO:0071216	GO:0071216	cellular response to biotic stimulus	14/367	206/17913	9.31768698311375e-05	0.00447497446842343	0.00385654160185298	MAPK14/TSPO/HMGB2/ADAM9/ARG1/CD55/IL18/CARD16/LCN2/LY96/LTF/IL10/CHMP5/CTSG	14
GO:0043901	GO:0043901	negative regulation of multi-organism process	13/367	182/17913	0.000100109788252614	0.00474467706955152	0.00408897182211854	SRPK1/SNX3/TIMP1/PLSCR1/CARD16/SLPI/LTF/IL10/PTX3/ELANE/CAMP/MPO/CTSG	13
GO:0002921	GO:0002921	negative regulation of humoral immune response	4/367	13/17913	0.00010705001492716	0.00488093865528646	0.00420640231872345	CR1/CD55/CD59/VSIG4	4
GO:0044130	GO:0044130	negative regulation of growth of symbiont in host	4/367	13/17913	0.00010705001492716	0.00488093865528646	0.00420640231872345	IL10/ELANE/MPO/CTSG	4
GO:2001044	GO:2001044	regulation of integrin-mediated signaling pathway	4/367	13/17913	0.00010705001492716	0.00488093865528646	0.00420640231872345	CD177/CD63/BST1/TIMP1	4
GO:0050829	GO:0050829	defense response to Gram-negative bacterium	8/367	72/17913	0.000109791745898035	0.00489854474646992	0.00422157528196025	HMGB2/BPI/RNASE3/LTF/ELANE/DEFA4/AZU1/CTSG	8
GO:0098754	GO:0098754	detoxification	10/367	113/17913	0.000110156058985026	0.00489854474646992	0.00422157528196025	S100A9/TXN/HP/MGST1/ALOX5AP/GSTO1/GSR/MARC1/MPO/CLIC2	10
GO:0032611	GO:0032611	interleukin-1 beta production	9/367	93/17913	0.000121957724035122	0.00535721612164035	0.00461685915506514	SERPINB1/NLRC4/JAK2/LILRA5/AIM2/CARD16/ORM1/SUCNR1/AZU1	9
GO:0002460	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	17/367	295/17913	0.00013244535599168	0.00564144256195245	0.0048618060478675	FCER1G/CR1/BCL6/IL18RAP/ARG1/CD55/IL18R1/SEMA4A/RAB27A/IL18/IL1R1/ANXA1/C1QB/CEACAM1/IL10/C1QA/C1QC	17
GO:0007229	GO:0007229	integrin-mediated signaling pathway	9/367	94/17913	0.000132476265486785	0.00564144256195245	0.0048618060478675	FCER1G/CD177/CD63/ADAM9/BST1/TIMP1/ITGA7/CEACAM1/ITGA2B	9
GO:0000272	GO:0000272	polysaccharide catabolic process	5/367	25/17913	0.000133126767841743	0.00564144256195245	0.0048618060478675	PYGL/PPP1R3D/MGAM/PGM2/CHIT1	5
GO:0002698	GO:0002698	negative regulation of immune effector process	10/367	116/17913	0.000137095917525901	0.00567608614860111	0.00489166195745775	IRAK3/CR1/BCL6/ARG1/CD55/CD59/VSIG4/ANXA1/CEACAM1/IL10	10
GO:0030449	GO:0030449	regulation of complement activation	10/367	116/17913	0.000137095917525901	0.00567608614860111	0.00489166195745775	CR1/CD55/CD59/C3AR1/CR1L/VSIG4/C1QB/PROS1/C1QA/C1QC	10
GO:0072593	GO:0072593	reactive oxygen species metabolic process	16/367	269/17913	0.000144668329182252	0.0059014393764889	0.00508587180258505	CD177/MAPK14/GADD45A/TSPO/HP/JAK2/NQO2/MMP8/BST1/RAB27A/DDAH2/POR/CYP1B1/IL10/PTX3/MPO	16
GO:2000257	GO:2000257	regulation of protein activation cascade	10/367	117/17913	0.000147228006076376	0.0059014393764889	0.00508587180258505	CR1/CD55/CD59/C3AR1/CR1L/VSIG4/C1QB/PROS1/C1QA/C1QC	10
GO:0044126	GO:0044126	regulation of growth of symbiont in host	4/367	14/17913	0.000147454065486952	0.0059014393764889	0.00508587180258505	IL10/ELANE/MPO/CTSG	4
GO:0002369	GO:0002369	T cell cytokine production	6/367	40/17913	0.000151250065246377	0.00598684324194999	0.00515947301806322	IL18RAP/ARG1/CD55/IL18R1/IL18/IL1R1	6
