logFC	AveExpr	t	P.Value	adj.P.Val	B
GRB10	2.62008183175733	6.61327582407772	16.2800528130041	6.47639098845772e-31	3.16865139099566e-28	59.8289105586802
ATP6V0E2	-1.36546099706078	5.88833932357323	-16.2177541355483	8.70918179695914e-31	4.16197620338868e-28	59.5356690990039
CR1	1.71909081401409	7.5051143506198	16.2027828265884	9.35241314150056e-31	4.36778949192489e-28	59.4651252818341
CARD11	-0.932745628248722	5.48739674026838	-16.1716324428758	1.08480457192758e-30	4.95369981078664e-28	59.3182555842584
CARD6	1.6717523362471	8.41869911063206	16.0642247538739	1.81092688355213e-30	8.08972533263321e-28	58.8109008989831
SLC22A4	1.7199827543769	8.95687114285748	16.0277367311795	2.15598197721892e-30	9.42622843614288e-28	58.6382130181792
TESPA1	-1.19870663849936	5.33273090578487	-16.0056247282287	2.3965215581715e-30	1.01895187027853e-27	58.5334812163608
MAPK14	1.70896895500979	8.62351404711444	16.0027481998687	2.42973583355142e-30	1.01895187027853e-27	58.5198522318989
SLC2A3	1.73623028818452	9.45808701692153	15.9891589934361	2.59301359468778e-30	1.06567672714478e-27	58.4554525131567
TCF7	-1.54381541020705	6.83410904263732	-15.9776328088694	2.74012381504393e-30	1.10405498579093e-27	58.4008113025371
CD63	1.44397058351675	11.1570534515921	15.9615257022054	2.95986690053959e-30	1.169659710369e-27	58.3244256970013
PRAG1	-2.04316911447585	6.54443753457953	-15.9393327587994	3.29196423895264e-30	1.27635043672147e-27	58.2191254549747
CDC25B	-1.696240554577	7.66716769711892	-15.9149651350009	3.69993205302636e-30	1.40796118069701e-27	58.1034355975063
BLCAP	-0.857534696536679	7.63540275009975	-15.9063477645665	3.8560667697084e-30	1.44069665546796e-27	58.0625051751061
FMNL3	-0.73823573525676	3.88116059949905	-15.8961173838163	4.05005136521836e-30	1.48615188399771e-27	58.0139012482013
BCL9L	-1.30643583794883	5.82021083215171	-15.8679161022817	4.63713219280627e-30	1.67172683210484e-27	57.8798507010904
DDX24	-1.20457710454253	6.70005133161545	-15.839133808579	5.32467658937567e-30	1.88649619370829e-27	57.7429356800761
VNN1	3.66098948833106	8.34194856317785	15.8300768435186	5.56155704346279e-30	1.937024333663e-27	57.699830993917
GADD45A	3.00614708406104	8.51293916874766	15.8226164082133	5.76461951392202e-30	1.97428610652639e-27	57.6643169443542
ARHGAP17	-0.912601758382768	7.00361145031475	-15.8189650614941	5.86670432954489e-30	1.97630995521013e-27	57.6469328342294
IFFO2	-1.01819087695991	4.92276064104465	-15.8155284239539	5.96444606309979e-30	1.97682906694577e-27	57.6305694350718
SULT1B1	2.22209120103729	6.47295042764322	15.7894925205417	6.76013037673158e-30	2.204982843039e-27	57.5065526908178
BCL6	1.55001578827748	10.3932090037818	15.7477320425324	8.2653502884684e-30	2.65382317308964e-27	57.3074584743475
TXN	1.94715489675941	6.89159094976604	15.7154307858757	9.65728241354997e-30	3.05303840486213e-27	57.1533123219591
ABHD15	-1.21331801963091	4.73320966120859	-15.6641636159992	1.23665879082475e-29	3.85031840797845e-27	56.9083917939988
SRRM1	-0.867830327398118	7.29340315474105	-15.658470402651	1.27111441059501e-29	3.89852686915177e-27	56.8811732653638
IL1R2	3.57615417726839	10.9738775557039	15.6444499821326	1.36013841480445e-29	4.11021827732599e-27	56.8141262803135
RTL6	-1.45599844203014	5.34935658954463	-15.6370997314971	1.40928712497277e-29	4.19702045377762e-27	56.7789669466753
CST7	2.0412241084553	10.8609968405523	15.6243627466284	1.4987207030052e-29	4.39960167515054e-27	56.718024754175
MPRIP	-0.672149508217958	5.57640837455491	-15.612977337239	1.58348390741955e-29	4.58295926951611e-27	56.6635323929903
EVL	-1.89790000636736	7.16349937277388	-15.5963324721819	1.71615356474647e-29	4.89794994471877e-27	56.5838385847671
RUNX3	-1.46827840431718	6.2135500460894	-15.5559965953044	2.08589985669858e-29	5.87166522675332e-27	56.3905727592979
LPIN1	-1.28881025490162	5.17986344641465	-15.5416150435181	2.23628297886878e-29	6.1352152402287e-27	56.3216162471879
USP36	-0.711206917155035	4.74456142536637	-15.5395649424377	2.2585901076129e-29	6.1352152402287e-27	56.3117843673969
PCNX2	-0.730227868850974	4.05887504671211	-15.5386065338029	2.26909512996925e-29	6.1352152402287e-27	56.3071878512034
SAMSN1	3.01543201290947	8.04445743890825	15.5073411668679	2.64010962312599e-29	7.04566397995012e-27	56.1571774745785
WBP11	-0.985527123339544	5.47092611165747	-15.4815896437532	2.99109917555169e-29	7.8800124305656e-27	56.0335320285286
DPP4	-1.42352961862512	4.18746599519438	-15.4221769090498	3.99053497920399e-29	1.03799371250206e-26	55.7479522673577
ARPC2	0.711695010298927	10.9172973392229	15.3849417679604	4.78178901303399e-29	1.22826228036044e-26	55.5687533313104
PLXDC1	-0.58960580457407	3.83631467173924	-15.3474472376096	5.73812216195784e-29	1.45571200377866e-26	55.3881348771734
METTL9	1.58365443530401	8.31451764579128	15.3326976453433	6.16506070339085e-29	1.54494917553633e-26	55.3170362280803
NELL2	-2.52225747975002	6.22064093918694	-15.3168837699135	6.65834664240278e-29	1.64846223077994e-26	55.2407778960053
CD247	-2.48936400853831	8.23784173115098	-15.3023308514417	7.14728901214362e-29	1.74844811798261e-26	55.1705733165943
HK3	2.23046675224673	9.70813845420442	15.2673633676265	8.47484153298514e-29	2.04881786660367e-26	55.0017818421774
DHRS3	-1.17920327464524	5.74917098105477	-15.2566180596735	8.93060851939087e-29	2.13389621470887e-26	54.9498833808756
SERPINB1	1.90710875143937	9.29176627155291	15.251397241715	9.16086484300622e-29	2.15122534789865e-26	54.9246624462045
PAQR8	-1.26959772069606	6.5888203314777	-15.2502443983302	9.21250818118063e-29	2.15122534789865e-26	54.9190927993942
TDRD9	3.53951925960768	6.22813781022388	15.2178035829988	1.0792122270918e-28	2.4917676465741e-26	54.7622979148839
LRRN3	-2.68652236913075	4.40319413550781	-15.1626002714039	1.41313881672734e-28	3.22650994943667e-26	54.4951936352424
ZNF831	-1.12396126365654	3.38643783408592	-15.1582827335413	1.4432723010776e-28	3.25909917745535e-26	54.4742874933768
PASK	-1.37278691327407	4.55548127479771	-15.153769407517	1.47546287486546e-28	3.29557463213156e-26	54.4524309171178
UBE2J1	1.38406900186519	7.51377938691888	15.1299748246449	1.65749433781594e-28	3.66234958578277e-26	54.3371609313872
RASGRF2	-0.724931755663434	5.13084692057514	-15.0527542597544	2.41889085802158e-28	5.28784981292398e-26	53.9626070427304
ABCB1	-0.895129988265632	3.34571726447725	-15.046070701495	2.49942000077036e-28	5.40637701008738e-26	53.9301552574667
ZBTB4	-1.17324235612085	6.77521965512755	-15.0228398452293	2.80087302500425e-28	5.99532706154294e-26	53.817317144298
IL18RAP	2.13613916614394	10.8993649007231	14.9869202685051	3.34051563118412e-28	7.07672739228891e-26	53.6427200601436
CPEB4	1.2145865355535	8.23934076279752	14.9780343072539	3.4894222174006e-28	7.31674868830255e-26	53.5995036808169
TSPO	1.52045319013931	10.9685912237585	14.9755227043785	3.5327069446602e-28	7.33268636422448e-26	53.5872869379728
PYGL	1.45851909287925	10.0992334795336	14.9617359819953	3.78009784526431e-28	7.76772306223364e-26	53.5202132894001
PRKCQ	-1.6152171593193	6.17544450130011	-14.9583484506961	3.84350327730135e-28	7.81981671735302e-26	53.5037291894786
TRIB2	-1.85886337798608	5.63460325543738	-14.953054436031	3.94473995927273e-28	7.94710406108777e-26	53.4779652043831
MTF1	1.00963432194141	7.64905151716535	14.9155768275088	4.74232675855805e-28	9.46117209336014e-26	53.2954807187244
GPATCH8	-0.709442465130829	6.51798619927931	-14.9114185810872	4.84026439145977e-28	9.5637108634718e-26	53.2752233006451
MMP9	2.85608099025913	11.0784804490321	14.8998761728052	5.12290157483804e-28	1.00257623296521e-25	53.2189822999844
NMT2	-1.66512704970579	3.77085918865762	-14.8849461595206	5.5132358385412e-28	1.06878757779418e-25	53.1462116665952
SRPK1	1.16956371948068	8.20937823636666	14.8004960787861	8.35608828167034e-28	1.60475942149574e-25	52.73409780098
PCED1B	-1.9258426603073	6.65502673838701	-14.7729628134621	9.57106089162331e-28	1.8210715764997e-25	52.5995553330733
C6orf136	-1.0383271503591	5.35585239479311	-14.7544622353661	1.04856816313435e-27	1.97500149122147e-25	52.509101672557
BCL11B	-1.92602227693135	5.64847055007857	-14.7527950256575	1.05722986050105e-27	1.97500149122147e-25	52.5009483301719
TMEM109	-1.1241379229349	6.47708218192678	-14.7229299155885	1.22515886276706e-27	2.26808914153156e-25	52.3548407229237
CCR6	-1.50382928933684	4.22585103264982	-14.6964203657569	1.39655831624362e-27	2.56231043218662e-25	52.2250623580986
EPHA4	-0.749428679758586	3.4119438394428	-14.669458144361	1.59563121032898e-27	2.89981353159242e-25	52.0929842017284
LBH	-2.12462246853085	7.15127201531317	-14.6678040114215	1.60873396565057e-27	2.89981353159242e-25	52.084878459287
NLRC4	2.33578330155643	7.33322024062061	14.653509277541	1.72656577036634e-27	3.08514782741374e-25	52.0148168191209
BIN1	-1.08327849693494	6.56174857060485	-14.6372859109414	1.87083771366614e-27	3.31412449811427e-25	51.9352738855961
IFNGR1	1.29554825643886	9.6842815005977	14.6200019117279	2.03789576348593e-27	3.57920684135661e-25	51.8504972339935
SBK1	-1.08762241360547	5.59927398134635	-14.6155531547902	2.08326913510078e-27	3.62788961501576e-25	51.8286708544366
SLC2A14	1.46890150074309	8.93236628232187	14.5744633612836	2.55341486149937e-27	4.40925394865131e-25	51.6269693984988
MKNK1	1.59729949029078	8.18050045177249	14.554589166618	2.81771179145017e-27	4.82509663354246e-25	51.5293413892513
ETS1	-1.27576484707793	6.19944845839514	-14.5185764562036	3.3686500615224e-27	5.72085868712593e-25	51.3523208539099
CLEC4D	3.50979951358151	8.13187554311399	14.4781438443245	4.1172726225026e-27	6.93490451801687e-25	51.1533977804021
HMGB2	1.04983241972769	6.5853819322969	14.4445780989186	4.86431846206547e-27	8.1265756160149e-25	50.9881174545056
HMCES	-0.859620785379858	5.339442163544	-14.4428825316171	4.90547817309484e-27	8.1292476595908e-25	50.9797649568836
CHD3	-0.663916373163632	6.27906458733912	-14.4396280133746	4.98546406066948e-27	8.19570407861577e-25	50.96373203146
LOC284009	-0.635766287593167	4.19307915304578	-14.4293268648894	5.24737363189889e-27	8.55780006046748e-25	50.9129769649612
APBA2	-1.07486639594919	5.84594026766462	-14.4205534609433	5.48131292904993e-27	8.86893695898009e-25	50.8697398169783
MORC2	-0.98597479034541	5.28991926531789	-14.4130578693594	5.68946244589843e-27	9.13380967193491e-25	50.8327930959916
HP	4.31112641715509	8.38156716238291	14.351366359052	7.73385837880784e-27	1.23196167307072e-24	50.5284670946084
MCTP2	1.34670488333224	7.61978537530233	14.3480148310101	7.86402044208094e-27	1.24305966203324e-24	50.5119216467554
FLT3LG	-1.60628855516686	5.16011442109422	-14.3330187146912	8.47390602801503e-27	1.32923889289833e-24	50.437875067146
ARL4C	-1.50554660263172	6.43071466575113	-14.3289590202625	8.64703604783168e-27	1.34612078596131e-24	50.4178251086628
MBOAT2	0.964689185449486	7.16112784950448	14.3086366991219	9.56861014704448e-27	1.47838623993697e-24	50.3174297987755
MAP2K6	1.89678211177077	5.81736236901366	14.3015845842487	9.91095882635176e-27	1.51985293225897e-24	50.2825805030055
PPP1R16B	-1.60561282994516	5.97875336884281	-14.2742800807615	1.13566011191984e-26	1.7286429362845e-24	50.1475980438902
KIAA0355	-1.30442934965687	5.51551703637226	-14.2590430943511	1.22535573341822e-26	1.85145845338316e-24	50.0722364274601
MAP3K14	-1.29246264130171	5.12900869456729	-14.2508748346941	1.27633539864662e-26	1.91440993480214e-24	50.0318258668271
CCL28	-0.609242596405095	3.92878859399315	-14.2284629368753	1.42742461107406e-26	2.1255179951421e-24	49.92091019885
ITGAM	0.909735539174706	7.36056303432793	14.2253439138675	1.44982980390706e-26	2.13500733734073e-24	49.9054698545782
DACH1	2.61236636279399	5.37204737663467	14.2246892756369	1.45457699755561e-26	2.13500733734073e-24	49.9022290108342
NSG1	-0.914527342123695	4.90553947099366	-14.2197675608185	1.49077096284117e-26	2.17261365357612e-24	49.8778621128835
FBXO21	-0.990271857834886	5.22693159980952	-14.1845021397705	1.77798480783913e-26	2.5729443532596e-24	49.703188377866
PID1	-0.68940894220778	3.06561843851123	-14.1756402404203	1.85851202884988e-26	2.67066878886967e-24	49.6592727936706
PGLYRP1	2.32008521431482	8.73932434431254	14.15634318006	2.04676535070408e-26	2.92076258275125e-24	49.5636153575489
CHMP7	-1.050439820677	7.02524575341135	-14.1473100371053	2.14135725619852e-26	3.02594691429833e-24	49.5188231182291
GCN1	-0.951499173904258	5.16656046278379	-14.14651166764	2.14992578464916e-26	3.02594691429833e-24	49.5148638488674
MLLT6	-0.882896376494215	5.51099380866048	-14.0905342443293	2.84511984377286e-26	3.9771678686863e-24	49.2370870244575
LTBP3	-0.65434564002212	5.45202417557261	-14.0707379888732	3.14171196558657e-26	4.36209724194854e-24	49.1387702246802
IL21R	-0.981645630887809	4.67114280260248	-14.0641323845102	3.24743600806152e-26	4.47862835769504e-24	49.1059544449497
ANAPC1	-0.6335219649447	5.21211198354397	-14.0573273633203	3.36008995563314e-26	4.60309923322036e-24	49.072143034491
CKLF	1.23428123705533	8.84802367312132	14.0525135694749	3.44214247257339e-26	4.68427719661659e-24	49.0482221971724
PLBD1	1.11962105345976	7.57465265661444	14.0420678872744	3.62718012280465e-26	4.90361344365216e-24	48.9963065867239
PIK3C2B	-1.12105208712173	6.0688676254184	-14.0162688272036	4.12814960508309e-26	5.54440171469623e-24	48.868033265257
NAIP	2.09099607487634	7.74555210702137	14.0085407838561	4.29132976631564e-26	5.72613866026105e-24	48.8295953253497
HEBP2	0.666190693707822	6.75965632790386	13.9812943537026	4.92009481073506e-26	6.52277601714805e-24	48.6940250149503
ZNF827	-0.840189308940543	3.84888330987474	-13.9772398030625	5.02126324221623e-26	6.61422681822445e-24	48.6738439275071
RAB13	1.9825637522976	6.55050491030808	13.9454939071607	5.88911243757973e-26	7.7079854445749e-24	48.5157712320606
URGCP	-0.938002900463024	5.58485687250138	-13.9275617438217	6.4443599508807e-26	8.38133877409162e-24	48.4264337651306
JAK2	1.42428551064308	6.88772852214629	13.9047002679528	7.2291519519674e-26	9.3428832365395e-24	48.3124889043251
DHRS4-AS1	-0.671045169920206	3.5767916089502	-13.8957096832909	7.56346341252173e-26	9.71385060399432e-24	48.2676633150737
FOXO1	-0.782258966122374	5.18790878571551	-13.880442402785	8.16712776936721e-26	1.04239943188029e-23	48.1915234883194
PPRC1	-0.864975750284803	4.24403089424173	-13.8780185996036	8.267318872187e-26	1.04867367595414e-23	48.1794334074826
KIF1B	1.17080632270671	6.13693478952035	13.8607324443043	9.01857429298385e-26	1.13002364968279e-23	48.0931909606023
ACSL1	1.36727072623803	11.4019573128466	13.8607311625498	9.01863246620164e-26	1.13002364968279e-23	48.093184564623
NAT10	-0.919967039201492	5.80680096353754	-13.8576985297309	9.15733087283722e-26	1.14044843700565e-23	48.0780511826804
CA4	2.49683934651036	8.01814933270593	13.8556105894994	9.25406651164394e-26	1.145553088842e-23	48.0676314216693
ADM	1.56801058721041	9.66847554395884	13.8534838923435	9.35365274398247e-26	1.15094736668321e-23	48.0570177730006
FLOT1	1.1516383144255	8.02840432053838	13.8404617274824	9.98734644050958e-26	1.22160703575019e-23	47.9920180095969
NCR3	-0.987538955100918	5.61216476489521	-13.8324042603716	1.04008558042752e-25	1.25911659438199e-23	47.9517904438849
CHPT1	1.48414415994211	7.45252573497821	13.8321046965469	1.04165565742829e-25	1.25911659438199e-23	47.950294715139
ADAM9	1.54632420070917	5.12490523725482	13.769478045393	1.42813106858177e-25	1.71617925896413e-23	47.6373917535362
CD7	-1.58521764259868	5.8904911289722	-13.7553076939754	1.53391398074817e-25	1.83258130176711e-23	47.5665352347831
FGD4	1.64494041797276	6.45645690857435	13.7510908398286	1.56688675794246e-25	1.86115352537339e-23	47.5454455113294
TSHZ1	-1.53943872722337	5.58778354922037	-13.7266074872523	1.772889465488e-25	2.09374170266167e-23	47.4229605939132
DYRK2	-1.60394443770938	5.76485828393054	-13.7180821564419	1.85083319919073e-25	2.17162639224726e-23	47.3802956193685
GSEC	1.92696701164854	6.74821165576481	13.7171059623125	1.85997491379394e-25	2.17162639224726e-23	47.3754097808181
BACH2	-1.87630662977246	5.16280220166695	-13.7082213944565	1.94528795516345e-25	2.25840238365275e-23	47.3309381080227
EXOC6	1.35176673030636	6.11831673025132	13.6777363984494	2.26902832691422e-25	2.6194529825708e-23	47.1782836447422
SHQ1	-0.961061027802731	4.7589657280199	-13.6658065205466	2.40998464544682e-25	2.76663544577021e-23	47.1185184117089
TRAV8-3	-0.681905546700757	2.95785486343794	-13.6434555594291	2.69817153011247e-25	3.08026259846006e-23	47.0065072749746
RABL2B	-1.61340749321281	4.57804986655775	-13.640190436396	2.74307447078062e-25	3.11422305525253e-23	46.990139932903
PRKCH	-0.998047176351909	5.8431385236676	-13.6371159444193	2.78604142729599e-25	3.14562446645634e-23	46.9747271861947
CD3E	-1.94428988651494	7.34537662722973	-13.6204764486168	3.03058431501683e-25	3.40303153493338e-23	46.8912949267312
TENT4A	-0.973837804745323	6.70520282828691	-13.6108018344371	3.18255934334372e-25	3.55426151882446e-23	46.8427723747145
ZNF266	-1.21109549350175	7.20326472720391	-13.6055028974727	3.26901774657918e-25	3.63108354997057e-23	46.8161917800833
LOC93622	-1.455278360425	5.48689544281483	-13.6036389354962	3.2999878727155e-25	3.64577692453929e-23	46.8068410717984
ARG1	1.75536616449387	4.49136839796085	13.5927338905706	3.48717243752091e-25	3.83197360527365e-23	46.7521280062902
PRKX	-1.40602405959238	5.4708836644439	-13.5875418988127	3.58000254768269e-25	3.91305704001764e-23	46.7260743749789
ADGRG3	1.55080754477521	8.62772026640417	13.5693623158222	3.92503928328742e-25	4.26749376890334e-23	46.6348269550859
ROPN1L	1.22900645142095	6.70927376230436	13.5494303173468	4.34183363814306e-25	4.69580733843167e-23	46.534745395417
ARHGEF18	-1.0307833724356	9.09635819922831	-13.541050241841	4.53007677863526e-25	4.87374595414534e-23	46.4926558232977
DYSF	1.30246215144613	9.74996536099937	13.503109217948	5.49030715613485e-25	5.87605842455287e-23	46.3020059037257
PLEKHA1	-1.90578449686946	5.72000130436201	-13.501260817094	5.54198980303013e-25	5.88414999308994e-23	46.2927141893446
KIF5C	-0.656303350068195	4.51834301012156	-13.5007933762823	5.55513698311085e-25	5.88414999308994e-23	46.2903643600671
BMX	2.70663636863892	6.42135960096515	13.48612212146	5.98408368993222e-25	6.30599670484191e-23	46.2166007450455
TRIM44	-0.96179649384785	5.69692553827782	-13.475969188887	6.3002472581363e-25	6.60529494425729e-23	46.165541633833
DCAF16	-0.903938474293121	4.10589579463579	-13.4637042514712	6.70462833931833e-25	6.99357399719047e-23	46.1038475787416
SLAMF1	-0.921701880455389	4.82456271637596	-13.4571375960644	6.93174105547144e-25	7.19395691661024e-23	46.0708104047399
KAT7	-0.73290255921675	6.43639939813116	-13.4105130726024	8.78249748596956e-25	9.06892165021048e-23	45.8361174761319
LDLRAP1	-1.51336240996204	7.16004532986345	-13.4040573508206	9.07519208711724e-25	9.32430610990861e-23	45.8036045587462
PVRIG	-1.89401389395574	6.35546321192597	-13.3992219872964	9.30081804612764e-25	9.50858258855109e-23	45.7792495630139
KLF12	-1.13739244290787	4.52420444301287	-13.3874789575015	9.87249140891686e-25	1.00430606911798e-22	45.7200921524961
MLLT3	-1.153957777138	4.25657066831446	-13.3674221125774	1.09316682667589e-24	1.10657562174202e-22	45.6190213599642
FBXO31	-0.700122208157388	4.70736500622973	-13.3562382768176	1.15710638853635e-24	1.16555780284477e-22	45.5626465423234
TMED8	0.920983139592868	7.5339728964276	13.3534684749343	1.173513460976e-24	1.17631844437052e-22	45.5486828075699
PPP1R3D	1.29123836346881	7.84789714690554	13.3427280495733	1.23937386934725e-24	1.23630551656391e-22	45.4945287594797
ID3	-1.30748101778866	4.56414076678877	-13.3399287578961	1.25714047209248e-24	1.24797002710282e-22	45.4804126760553
MAP4K1	-1.14844466532021	5.76859457540815	-13.3367629818289	1.27754132320279e-24	1.26212483896606e-22	45.4644475934393
RAB32	1.34777266587759	6.99185917161209	13.3269786481605	1.34271814348624e-24	1.32016818806214e-22	45.4150988310478
SPIB	-1.0581599026587	4.57738731224533	-13.3110143406231	1.45630572749662e-24	1.42502982830133e-22	45.3345605583659
ELP2	-0.614724581906994	4.38293213482376	-13.2924984442304	1.60018574809959e-24	1.55839890699993e-22	45.2411189958128
RSAD1	-1.07864182079518	5.97855812875963	-13.2909102358153	1.61317248031982e-24	1.56319086514125e-22	45.2331024721611
ALPL	2.45077687456342	7.86872375641247	13.2900415407504	1.6203204743544e-24	1.56319086514125e-22	45.2287176084745
SLC40A1	1.17555680372977	7.73773491570483	13.2820808425799	1.68732312547531e-24	1.62022443483141e-22	45.1885314607929
TSPOAP1-AS1	-1.41200544535821	6.23094592701896	-13.2676246378127	1.81618795589771e-24	1.73585331654614e-22	45.1155400157202
AMIGO1	-1.03616184792424	4.95284974850989	-13.2572373392117	1.91483931347698e-24	1.82166819688141e-22	45.0630807141289
PGAP3	-0.634387749399338	5.22457549715148	-13.2531017012185	1.95559784082677e-24	1.8518700475184e-22	45.0421915032959
FAM171A1	-1.14062997650404	4.50075685751163	-13.252117092607	1.96542923820229e-24	1.85264245026692e-22	45.0372179801211
PATJ	-0.714798083885903	3.19437404318881	-13.2412747529348	2.07702776801603e-24	1.94889696826308e-22	44.9824442932386
PITPNC1	-0.650750292943079	5.12356291482537	-13.2395615257743	2.09523461950526e-24	1.95704437255517e-22	44.9737883320776
KAT14	-0.553491687669402	4.46929437712614	-13.2352320639913	2.1419618764079e-24	1.99163685965185e-22	44.9519127832508
LILRA5	1.73532350895431	6.48856707350947	13.2284300428994	2.21749670209085e-24	2.0525828707777e-22	44.9175404924213
TIGD3	-1.27446205533179	5.4255774873518	-13.2191271192766	2.32515117566274e-24	2.14257988828222e-22	44.8705234154339
DPF2	-0.828074292031029	7.70383179230226	-13.210808744875	2.42584756302187e-24	2.22539024877394e-22	44.8284753175856
BRD1	-1.04526618757524	5.99586621468948	-13.2046379645174	2.50336427442974e-24	2.28629477667808e-22	44.7972787475741
ZNF689	-0.964099667802713	5.51317388797259	-13.175008239078	2.91164443342451e-24	2.64740625940001e-22	44.647434744172
MANSC1	1.35169093521231	8.80122179583313	13.1704127609691	2.98069886751946e-24	2.69825467086597e-22	44.6241870108913
NIPAL3	-0.71261149516291	4.88637058935425	-13.1684092379563	3.01131726366971e-24	2.71401572154162e-22	44.6140509125097
HPS4	-0.472771767780833	4.35963580341619	-13.1568995474458	3.19342790782678e-24	2.86557860602325e-22	44.5558145203659
