ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0045088	GO:0045088	regulation of innate immune response	17/158	440/17913	3.63787233998039e-07	5.48034768393517e-05	4.41049785862639e-05	PGLYRP1/AIM2/TLR5/NLRC4/LTF/S100A9/CLEC4D/ARG1/JAK2/CR1/FCER1G/FLOT1/CLEC4E/IRAK3/IL18RAP/IFNGR1/MAP2K6	17	geneontology_Biological_Process	0.107594936708861
GO:0001819	GO:0001819	positive regulation of cytokine production	17/158	446/17913	4.39568096263678e-07	6.25407719184044e-05	5.03318323090224e-05	AIM2/IL18/TLR5/IL1R1/ANXA1/MMP8/JAK2/C3AR1/FCER1G/CD58/FLOT1/CLEC4E/MAPK14/HMGB2/ORM1/IL18R1/LILRA5	17	geneontology_Biological_Process	0.107594936708861
GO:0051091	GO:0051091	positive regulation of DNA-binding transcription factor activity	13/158	257/17913	4.70720986225049e-07	6.34482339853868e-05	5.10621435472934e-05	AIM2/IL18/NLRC4/LTF/S100A12/S100A9/FLOT2/ANXA3/JAK2/FLOT1/IRAK3/IL18RAP/IL18R1	13	geneontology_Biological_Process	0.0822784810126582
GO:0002718	GO:0002718	regulation of cytokine production involved in immune response	8/158	83/17913	6.90735696105264e-07	8.84487058862791e-05	7.11821312091636e-05	IL18/IL1R1/ARG1/BCL6/FCER1G/IRAK3/MAPK14/IL18R1	8	geneontology_Biological_Process	0.0506329113924051
GO:0032680	GO:0032680	regulation of tumor necrosis factor production	10/158	151/17913	9.2487693107753e-07	0.000112790943832836	9.07723825087621e-05	LTF/MMP8/JAK2/BPI/FCER1G/TSPO/IRAK3/ORM1/LILRA5/UBE2J1	10	geneontology_Biological_Process	0.0632911392405063
GO:0006959	GO:0006959	humoral immune response	13/158	276/17913	1.05292541854254e-06	0.000122570090767611	9.86424865792487e-05	PGLYRP1/BST1/LTF/S100A12/S100A9/SLPI/LCN2/CR1/BPI/C3AR1/CD59/CD55/H2BS1	13	geneontology_Biological_Process	0.0822784810126582
GO:0032640	GO:0032640	tumor necrosis factor production	10/158	155/17913	1.17502067988895e-06	0.00012538449838315	0.0001009074776852	LTF/MMP8/JAK2/BPI/FCER1G/TSPO/IRAK3/ORM1/LILRA5/UBE2J1	10	geneontology_Biological_Process	0.0632911392405063
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	10/158	155/17913	1.17502067988895e-06	0.00012538449838315	0.0001009074776852	LTF/MMP8/JAK2/BPI/FCER1G/TSPO/IRAK3/ORM1/LILRA5/UBE2J1	10	geneontology_Biological_Process	0.0632911392405063
GO:0002369	GO:0002369	T cell cytokine production	6/158	40/17913	1.28260066600535e-06	0.000131389612225588	0.00010574029911741	IL18/IL1R1/ARG1/CD55/IL18RAP/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	10/158	161/17913	1.66065489204658e-06	0.000163574506866588	0.000131642197515271	LTF/MMP8/JAK2/BPI/FCER1G/TSPO/IRAK3/ORM1/LILRA5/UBE2J1	10	geneontology_Biological_Process	0.0632911392405063
GO:0002697	GO:0002697	regulation of immune effector process	16/158	441/17913	1.8623848817085e-06	0.000176650654890944	0.000142165676350302	AIM2/IL18/IL1R1/CD177/ANXA1/ARG1/BCL6/CR1/C3AR1/FCER1G/CD59/CD55/IRAK3/IL18RAP/MAPK14/IL18R1	16	geneontology_Biological_Process	0.10126582278481
GO:2000379	GO:2000379	positive regulation of reactive oxygen species metabolic process	8/158	101/17913	3.09532624198459e-06	0.000283111803775805	0.000227843939165632	CD177/MMP8/JAK2/DDAH2/GADD45A/TSPO/MAPK14/PTX3	8	geneontology_Biological_Process	0.0506329113924051
GO:1990266	GO:1990266	neutrophil migration	7/158	72/17913	3.31169154532065e-06	0.000292456622329868	0.000235364502567616	IL1R1/BST1/CD177/S100A12/S100A9/DYSF/C3AR1	7	geneontology_Biological_Process	0.0443037974683544
GO:2001044	GO:2001044	regulation of integrin-mediated signaling pathway	4/158	13/17913	3.91594166645257e-06	0.000334290886926168	0.000269032062558391	BST1/CD177/TIMP1/CD63	4	geneontology_Biological_Process	0.0253164556962025
GO:0019730	GO:0019730	antimicrobial humoral response	8/158	106/17913	4.45039492216742e-06	0.000361252370164454	0.000290730241386794	PGLYRP1/LTF/S100A12/S100A9/SLPI/LCN2/BPI/H2BS1	8	geneontology_Biological_Process	0.0506329113924051
GO:2000116	GO:2000116	regulation of cysteine-type endopeptidase activity	11/158	222/17913	4.51389138823215e-06	0.000361252370164454	0.000290730241386794	POR/MMP9/AIM2/NAIP/NLRC4/LTF/CTSD/S100A9/JAK2/ASPH/CST7	11	geneontology_Biological_Process	0.069620253164557
GO:0050867	GO:0050867	positive regulation of cell activation	13/158	319/17913	5.19533621175994e-06	0.000403189576918703	0.000324480647611673	IL18/VNN1/CD177/ANXA1/FLOT2/CLEC4D/MMP8/JAK2/BCL6/FCER1G/CD55/CD24/LILRA5	13	geneontology_Biological_Process	0.0822784810126582
GO:0045861	GO:0045861	negative regulation of proteolysis	13/158	324/17913	6.14718367660095e-06	0.000454076260694331	0.00036543345257383	POR/MMP9/NAIP/TIMP1/LTF/SERPINB1/SLPI/CR1/CD59/CD55/CST7/CSTA/UBE2J1	13	geneontology_Biological_Process	0.0822784810126582
GO:0051090	GO:0051090	regulation of DNA-binding transcription factor activity	15/158	429/17913	6.20564979472924e-06	0.000454076260694331	0.00036543345257383	ADGRG3/AIM2/IL18/NLRC4/LTF/S100A12/S100A9/FLOT2/ANXA3/JAK2/FLOT1/IRAK3/IL18RAP/MAPK14/IL18R1	15	geneontology_Biological_Process	0.0949367088607595
GO:0002819	GO:0002819	regulation of adaptive immune response	9/158	150/17913	7.39442298392008e-06	0.000516169973838226	0.000415405498993093	IL18/IL1R1/ANXA1/ARG1/BCL6/CR1/FCER1G/SAMSN1/IL18R1	9	geneontology_Biological_Process	0.0569620253164557
GO:0002694	GO:0002694	regulation of leukocyte activation	16/158	492/17913	7.50697740119765e-06	0.000516169973838226	0.000415405498993093	IL18/VNN1/CD177/ANXA1/FLOT2/CLEC4D/ARG1/MMP8/BCL6/CR1/BPI/FCER1G/CD55/CD24/SAMSN1/CST7	16	geneontology_Biological_Process	0.10126582278481
GO:0002440	GO:0002440	production of molecular mediator of immune response	10/158	191/17913	7.65890628889206e-06	0.000516169973838226	0.000415405498993093	IL18/IL1R1/ARG1/BCL6/FCER1G/CD55/IRAK3/IL18RAP/MAPK14/IL18R1	10	geneontology_Biological_Process	0.0632911392405063
GO:2000377	GO:2000377	regulation of reactive oxygen species metabolic process	10/158	194/17913	8.7840291266822e-06	0.000576817912652131	0.000464214008908063	BST1/CD177/MMP8/HP/JAK2/DDAH2/GADD45A/TSPO/MAPK14/PTX3	10	geneontology_Biological_Process	0.0632911392405063
GO:0071621	GO:0071621	granulocyte chemotaxis	7/158	84/17913	9.32092398405757e-06	0.000596772158079286	0.00048027287265223	BST1/ANXA1/S100A12/S100A9/DYSF/C3AR1/MAPK14	7	geneontology_Biological_Process	0.0443037974683544
GO:0001818	GO:0001818	negative regulation of cytokine production	12/158	290/17913	1.04028072565385e-05	0.00064979486302427	0.000522944713948713	ANXA1/LTF/SERPINB1/ARG1/MMP8/BCL6/BPI/TSPO/CD24/IRAK3/ORM1/LILRA5	12	geneontology_Biological_Process	0.0759493670886076
GO:0050707	GO:0050707	regulation of cytokine secretion	10/158	201/17913	1.19788512500401e-05	0.000730424715508398	0.000587834354575903	AIM2/TLR5/ANXA1/SERPINB1/MMP8/CD58/CLEC4E/MAPK14/ORM1/LILRA5	10	geneontology_Biological_Process	0.0632911392405063
GO:0010951	GO:0010951	negative regulation of endopeptidase activity	10/158	210/17913	1.75218514756044e-05	0.00104356887509355	0.000839847862649531	POR/MMP9/NAIP/TIMP1/LTF/SERPINB1/SLPI/CR1/CST7/CSTA	10	geneontology_Biological_Process	0.0632911392405063
GO:0097529	GO:0097529	myeloid leukocyte migration	9/158	170/17913	2.02241667719855e-05	0.00115924232895234	0.000932940044015979	IL1R1/BST1/CD177/ANXA1/S100A12/S100A9/DYSF/C3AR1/MAPK14	9	geneontology_Biological_Process	0.0569620253164557
GO:0002827	GO:0002827	positive regulation of T-helper 1 type immune response	4/158	19/17913	2.0369349786355e-05	0.00115924232895234	0.000932940044015979	IL18/IL1R1/ANXA1/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002292	GO:0002292	T cell differentiation involved in immune response	6/158	66/17913	2.51349195090234e-05	0.00134275888240175	0.00108063128783683	IL18/ANXA1/CLEC4D/BCL6/CLEC4E/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0002521	GO:0002521	leukocyte differentiation	15/158	485/17913	2.63311800690507e-05	0.00134275888240175	0.00108063128783683	MMP9/ADGRG3/IL18/VNN1/ANXA1/LTF/CLEC4D/BCL6/CR1/FCER1G/OSCAR/TSPAN2/CLEC4E/MAPK14/IL18R1	15	geneontology_Biological_Process	0.0949367088607595
GO:0002822	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	8/158	135/17913	2.63487387749404e-05	0.00134275888240175	0.00108063128783683	IL18/IL1R1/ANXA1/ARG1/BCL6/CR1/FCER1G/IL18R1	8	geneontology_Biological_Process	0.0506329113924051
GO:0071222	GO:0071222	cellular response to lipopolysaccharide	9/158	176/17913	2.6619910746542e-05	0.00134275888240175	0.00108063128783683	ADAM9/IL18/LTF/LCN2/ARG1/CD55/TSPO/MAPK14/HMGB2	9	geneontology_Biological_Process	0.0569620253164557
GO:0002218	GO:0002218	activation of innate immune response	12/158	319/17913	2.67886822757406e-05	0.00134275888240175	0.00108063128783683	PGLYRP1/AIM2/TLR5/NLRC4/LTF/S100A9/CLEC4D/FCER1G/FLOT1/CLEC4E/IRAK3/MAP2K6	12	geneontology_Biological_Process	0.0759493670886076
GO:0045089	GO:0045089	positive regulation of innate immune response	13/158	373/17913	2.73474986115524e-05	0.00134275888240175	0.00108063128783683	PGLYRP1/AIM2/TLR5/NLRC4/LTF/S100A9/CLEC4D/FCER1G/FLOT1/CLEC4E/IRAK3/IL18RAP/MAP2K6	13	geneontology_Biological_Process	0.0822784810126582
GO:0072593	GO:0072593	reactive oxygen species metabolic process	11/158	269/17913	2.73798344643592e-05	0.00134275888240175	0.00108063128783683	POR/BST1/CD177/MMP8/HP/JAK2/DDAH2/GADD45A/TSPO/MAPK14/PTX3	11	geneontology_Biological_Process	0.069620253164557
GO:0002706	GO:0002706	regulation of lymphocyte mediated immunity	8/158	136/17913	2.7788450123894e-05	0.00134275888240175	0.00108063128783683	IL18/IL1R1/ARG1/BCL6/CR1/FCER1G/IL18RAP/IL18R1	8	geneontology_Biological_Process	0.0506329113924051
GO:0010466	GO:0010466	negative regulation of peptidase activity	10/158	223/17913	2.93507698499418e-05	0.00139198743677224	0.00112024965626093	POR/MMP9/NAIP/TIMP1/LTF/SERPINB1/SLPI/CR1/CST7/CSTA	10	geneontology_Biological_Process	0.0632911392405063
GO:0002700	GO:0002700	regulation of production of molecular mediator of immune response	8/158	138/17913	3.08661621541303e-05	0.00143724075048596	0.00115666881335478	IL18/IL1R1/ARG1/BCL6/FCER1G/IRAK3/MAPK14/IL18R1	8	geneontology_Biological_Process	0.0506329113924051
GO:0042088	GO:0042088	T-helper 1 type immune response	5/158	42/17913	3.27501670324912e-05	0.00149773531732518	0.00120535389191011	IL18/IL1R1/ANXA1/IL18RAP/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	9/158	183/17913	3.61777865023279e-05	0.0016254616005695	0.00130814600132148	ADAM9/IL18/LTF/LCN2/ARG1/CD55/TSPO/MAPK14/HMGB2	9	geneontology_Biological_Process	0.0569620253164557
GO:0006979	GO:0006979	response to oxidative stress	14/158	442/17913	3.81681418358865e-05	0.00168532088347768	0.00135631981333332	ADAM9/MMP9/VNN1/TXN/LCN2/ARG1/HP/JAK2/GSR/IL18RAP/MCTP1/NME8/MGST1/MTF1	14	geneontology_Biological_Process	0.0886075949367089
GO:0002703	GO:0002703	regulation of leukocyte mediated immunity	9/158	185/17913	3.93904405543236e-05	0.00170010100560594	0.00136821462380092	IL18/IL1R1/CD177/ARG1/BCL6/CR1/FCER1G/IL18RAP/IL18R1	9	geneontology_Biological_Process	0.0569620253164557
GO:0050777	GO:0050777	negative regulation of immune response	8/158	143/17913	3.98305585069725e-05	0.00170010100560594	0.00136821462380092	ANXA1/ARG1/BCL6/CR1/CD59/CD55/SAMSN1/IRAK3	8	geneontology_Biological_Process	0.0506329113924051
GO:0032612	GO:0032612	interleukin-1 production	7/158	108/17913	4.80943956431462e-05	0.00201917618429668	0.00162500132302468	AIM2/NLRC4/ANXA1/SERPINB1/JAK2/ORM1/LILRA5	7	geneontology_Biological_Process	0.0443037974683544
GO:0032635	GO:0032635	interleukin-6 production	8/158	149/17913	5.33618415985774e-05	0.00220418832796704	0.00177389619439753	IL18/MMP8/BPI/FCER1G/IRAK3/IL18RAP/ORM1/LILRA5	8	geneontology_Biological_Process	0.0506329113924051
GO:0002699	GO:0002699	positive regulation of immune effector process	9/158	198/17913	6.67391473905816e-05	0.00271299930900444	0.00218337929140783	IL18/IL1R1/CD177/ANXA1/ARG1/FCER1G/IL18RAP/MAPK14/IL18R1	9	geneontology_Biological_Process	0.0569620253164557
GO:0051047	GO:0051047	positive regulation of secretion	13/158	409/17913	7.03142804754209e-05	0.00281366987964927	0.00226439738767885	ADAM9/AIM2/CD177/MMP8/JAK2/FCER1G/CD58/CLEC4E/MAPK14/MAP2K6/PFKFB2/ORM1/LILRA5	13	geneontology_Biological_Process	0.0822784810126582
GO:0001906	GO:0001906	cell killing	8/158	156/17913	7.37866470364182e-05	0.00289872948129976	0.00233285202095601	PGLYRP1/IL18/LTF/S100A12/ARG1/CD59/CD55/IL18RAP	8	geneontology_Biological_Process	0.0506329113924051
GO:0002825	GO:0002825	regulation of T-helper 1 type immune response	4/158	26/17913	7.48759720124178e-05	0.00289872948129976	0.00233285202095601	IL18/IL1R1/ANXA1/IL18R1	4	geneontology_Biological_Process	0.0253164556962025
GO:0002698	GO:0002698	negative regulation of immune effector process	7/158	116/17913	7.58355623768387e-05	0.00289872948129976	0.00233285202095601	ANXA1/ARG1/BCL6/CR1/CD59/CD55/IRAK3	7	geneontology_Biological_Process	0.0443037974683544
GO:0006527	GO:0006527	arginine catabolic process	3/158	10/17913	7.72070575575132e-05	0.00290775403536458	0.00234011484052029	ARG1/DDAH2/PADI4	3	geneontology_Biological_Process	0.0189873417721519
GO:0002705	GO:0002705	positive regulation of leukocyte mediated immunity	7/158	117/17913	8.00713701592106e-05	0.00294631674206758	0.00237114950203182	IL18/IL1R1/CD177/ARG1/FCER1G/IL18RAP/IL18R1	7	geneontology_Biological_Process	0.0443037974683544
GO:0046209	GO:0046209	nitric oxide metabolic process	6/158	81/17913	8.05318906461268e-05	0.00294631674206758	0.00237114950203182	POR/MMP8/JAK2/DDAH2/TSPO/PTX3	6	geneontology_Biological_Process	0.0379746835443038
GO:0009620	GO:0009620	response to fungus	5/158	51/17913	8.484143292047e-05	0.00298901971496131	0.00240551618483497	LTF/S100A12/S100A9/ARG1/PTX3	5	geneontology_Biological_Process	0.0316455696202532
GO:0050702	GO:0050702	interleukin-1 beta secretion	5/158	51/17913	8.484143292047e-05	0.00298901971496131	0.00240551618483497	AIM2/NLRC4/SERPINB1/ORM1/LILRA5	5	geneontology_Biological_Process	0.0316455696202532
GO:0002696	GO:0002696	positive regulation of leukocyte activation	11/158	305/17913	8.52004838704317e-05	0.00298901971496131	0.00240551618483497	IL18/VNN1/CD177/ANXA1/FLOT2/CLEC4D/MMP8/BCL6/FCER1G/CD55/CD24	11	geneontology_Biological_Process	0.069620253164557
GO:0035821	GO:0035821	modification of morphology or physiology of other organism	8/158	160/17913	8.81200083704115e-05	0.00304966677617059	0.00245432398846751	PGLYRP1/LTF/S100A12/S100A9/SLPI/ARG1/STOM/PTX3	8	geneontology_Biological_Process	0.0506329113924051
GO:0071216	GO:0071216	cellular response to biotic stimulus	9/158	206/17913	9.0451652297096e-05	0.00308862242043817	0.00248567487996792	ADAM9/IL18/LTF/LCN2/ARG1/CD55/TSPO/MAPK14/HMGB2	9	geneontology_Biological_Process	0.0569620253164557
GO:0002720	GO:0002720	positive regulation of cytokine production involved in immune response	5/158	52/17913	9.32038788198077e-05	0.00311122696142325	0.0025038666600081	IL18/IL1R1/FCER1G/MAPK14/IL18R1	5	geneontology_Biological_Process	0.0316455696202532
GO:0050714	GO:0050714	positive regulation of protein secretion	10/158	256/17913	9.35433330845724e-05	0.00311122696142325	0.0025038666600081	ADAM9/AIM2/MMP8/JAK2/CD58/CLEC4E/MAPK14/PFKFB2/ORM1/LILRA5	10	geneontology_Biological_Process	0.0632911392405063
GO:2001057	GO:2001057	reactive nitrogen species metabolic process	6/158	84/17913	9.86980137759325e-05	0.00324058478564312	0.00260797180800642	POR/MMP8/JAK2/DDAH2/TSPO/PTX3	6	geneontology_Biological_Process	0.0379746835443038
GO:0045628	GO:0045628	regulation of T-helper 2 cell differentiation	3/158	11/17913	0.000105472540387891	0.00337643969916736	0.00271730571157224	IL18/ANXA1/BCL6	3	geneontology_Biological_Process	0.0189873417721519
GO:0070673	GO:0070673	response to interleukin-18	3/158	11/17913	0.000105472540387891	0.00337643969916736	0.00271730571157224	IL18/IL18RAP/IL18R1	3	geneontology_Biological_Process	0.0189873417721519
GO:0032103	GO:0032103	positive regulation of response to external stimulus	11/158	315/17913	0.000113347363103646	0.00358373576430171	0.00288413433342352	IL18/S100A12/S100A9/DYSF/ARG1/MMP8/JAK2/C3AR1/FCER1G/MAPK14/LILRA5	11	geneontology_Biological_Process	0.069620253164557
GO:0061844	GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	5/158	55/17913	0.000122130389784828	0.00381434058827982	0.00306972147880223	PGLYRP1/LTF/S100A12/S100A9/H2BS1	5	geneontology_Biological_Process	0.0316455696202532
GO:0002286	GO:0002286	T cell activation involved in immune response	6/158	88/17913	0.000127832580181108	0.00389737187909306	0.00313654375933094	IL18/ANXA1/CLEC4D/BCL6/CLEC4E/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0002456	GO:0002456	T cell mediated immunity	6/158	88/17913	0.000127832580181108	0.00389737187909306	0.00313654375933094	IL18/IL1R1/ARG1/CD55/IL18RAP/IL18R1	6	geneontology_Biological_Process	0.0379746835443038
GO:0002828	GO:0002828	regulation of type 2 immune response	4/158	30/17913	0.000133539399752316	0.00402346356194918	0.00323802036798804	IL18/ANXA1/ARG1/BCL6	4	geneontology_Biological_Process	0.0253164556962025
